"name:ca"	"regio"	"comarca"	"municipi"	"osm_type"	"osm_id"	"name"	"wikidata"	"wikipedia"	"place"	"capital"	"admin_level"	"ref:idescat"	"ref:ine"
	"Aran"	"Val d'Aran"	"es Bordes"	"node"	"256696326"	"Begòs"	"Q17181962"	"en:Begós"	"hamlet"			"2505760002201"	"25057000201"
"Arròs"	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"256696241"	"Arròs"	"Q28039909"	"oc:Arròs"	"hamlet"			"2524300001701"	"25243000101"
"Aubèrt"	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"256696229"	"Aubèrt"	"Q11907198"	"oc:Aubèrt"	"hamlet"			"2524300002201"	"25243000201"
"Betlan"	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"256696226"	"Betlan"	"Q11909238"	"oc:Betlan"	"hamlet"			"2524300003801"	"25243000301"
"Betren"	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"256696220"	"Betren"	"Q2880114"		"neighbourhood"			"2524300004301"	"25243000401"
"Casarilh"	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"256696097"	"Casarilh"	"Q11912905"	"en:Casarilh"	"hamlet"			"2524300005601"	"25243000501"
"Casau"	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"2833163577"	"Casau"	"Q17595516"	"en:Casau"	"hamlet"			"2524300006901"	"25243000601"
"Escunhau"	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"256696219"	"Escunhau"	"Q4897224"	"en:Escunhau"	"hamlet"			"2524300007501"	"25243000701"
"Gausac"	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"2833163578"	"Gausac"	"Q17182081"	"ca:Gausac"	"hamlet"			"2524300008101"	"25243000801"
"Mijaran"	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"1734092681"	"Mijaran"	"Q67150838"		"neighbourhood"			"2524300011501"	"25243001101"
"Mont"	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"256696137"	"Mont"	"Q11937376"	"en:Mont (Vielha e Mijaran)"	"hamlet"			"2524300009401"	"25243000901"
"Montcorbau"	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"256696218"	"Montcorbau"	"Q17183345"	"en:Montcorbau"	"hamlet"			"2524300010801"	"25243001001"
"Santa Gèmma"	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"4395867322"	"Santa Gèmma"	"Q127509632"		"neighbourhood"			"2524300013601"	"25243001301"
"Vila"	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"256696230"	"Vila"	"Q28468098"	"ca:Vila (Vielha e Mijaran)"	"hamlet"			"2524300012001"	"25243001201"
"Vilac"	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"256696114"	"Vilac"	"Q11705092"	"en:Vilac (Vielha e Mijaran)"	"hamlet"			"2524300013602"	"25243001302"
	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"1950612439"	"Eth Pònt d'Arròs"	"Q67150840"		"neighbourhood"			"2524300001702"	"25243000102"
	"Aran"	"Val d'Aran"	"Viella i Mitjaran"	"node"	"9288238807"	"Espitau de Vielha"	"Q28322860"	"ca:Hospital de Sant Nicolau dels Pontells"	"isolated_dwelling"			"2524300011502"	"25243001102"
	"Aran"	"Val d'Aran"	"Vilamòs"	"node"	"12526572918"	"Era Bordeta"	"Q126616333"		"hamlet"			"2524770002201"	"25247000201"
"Miralsot"	"Franja"	"Baix Cinca"	"Fraga"	"node"	"1455833496"	"Miralsot"			"hamlet"				"22112000201"
	"Franja"	"Baix Cinca"	"Fraga"	"node"	"1455833454"	"Litera"			"hamlet"				"22112000301"
"Natjà"	"Franja"	"La Llitera"	"Baells"	"node"	"364851187"	"Nachá"			"hamlet"				"22043000201"
"Sorita de Llitera"	"Franja"	"La Llitera"	"Baells"	"node"	"1455834522"	"Zurita"	"Q13050504"	"ca:Sorita de Llitera"	"hamlet"				"22043000399"
"Santa Anna"	"Franja"	"La Llitera"	"Castellonroi"	"node"	"364850699"	"Santa Ana"			"hamlet"				"22089000399"
	"Franja"	"La Llitera"	"Castellonroi"	"node"	"1455833863"	"Piñana"			"isolated_dwelling"				"22089000299"
"Gavasa"	"Franja"	"La Llitera"	"Peralta i Calassanç"	"node"	"1455833260"	"Gavasa"	"Q20614637"	"ca:Gavasa"	"hamlet"				"22175000301"
"Quatrecorts"	"Franja"	"La Llitera"	"Peralta i Calassanç"	"node"	"1455833159"	"Cuatrocorz"	"Q29896276"	"es:Cuatrocorz"	"hamlet"				"22175000201"
	"Franja"	"La Llitera"	"Peralta i Calassanç"	"node"	"1455833011"	"Calasanz"			"hamlet"				"22175000101"
"Alins de Llitera"	"Franja"	"La Llitera"	"Sanui i Alins"	"node"	"1455832878"	"Alins del Monte"	"Q13048356"	"es:Alins del Monte"	"hamlet"				"22040000101"
"La Melusa"	"Franja"	"La Llitera"	"Tamarit de Llitera"	"node"	"9997921554"	"La Melusa"	"Q11687711"	"es:La Melusa"	"hamlet"				"22225000201"
	"Franja"	"La Llitera"	"Tamarit de Llitera"	"node"	"1455832875"	"Algayón"			"hamlet"				"22225000101"
"Berganui"	"Franja"	"Ribagorça"	"Areny de Noguera"	"node"	"1455832956"	"Berganuy"	"Q8696103"	"es:Berganuy"	"hamlet"				"22035000299"
"Betesa"	"Franja"	"Ribagorça"	"Areny de Noguera"	"node"	"1455832971"	"Betesa"	"Q980568"	"ca:Betesa"	"hamlet"				"22035000301"
