"name:ca"	"name"	"osm_id"	"osm_type"	"alt_name"	"alt_name:ca"	"place"	"wikidata"
"Mar Carib"	"Caribbean Sea"	"305640123"	"node"			"sea"	"Q1247"
"Mar Càspia"	"Каспий теңізі - Hazar deňizi - دریای خزر - Xəzər dənizi - Каспийское море - دریای مازندران"	"3987743"	"relation"			"sea"	"Q5484"
"Mar d'Åland"	"Ahvenanmeri"	"305640289"	"node"			"sea"	"Q271043"
"Mar d'Alborán"	"Mar de Alborán / بحر البحران"	"9291129"	"relation"			"sea"	"Q199408"
"Mar d'Amundsen"	"Amundsen Sea"	"9359808"	"relation"			"sea"	"Q72154"
"Mar d'Andaman"	"Andaman Sea"	"305639181"	"node"			"sea"	"Q47632"
"Mar d'Aràbia"	"Arabian Sea / بحر العرب"	"9328393"	"relation"			"sea"	"Q58705"
"Mar d'Arafura"	"Arafura Sea"	"305639693"	"node"			"sea"	"Q128880"
"Mar d'Azov"	"Азовське море - Азовское море"	"5486417"	"relation"			"sea"	"Q35000"
"Mar d'Icària"	"Ικάριο πέλαγος"	"2515637409"	"node"			"sea"	"Q1640853"
"Mar d'Irlanda"	"Irish Sea"	"653034259"	"way"			"sea"	"Q41735"
"Mar d'Irminger"	"Irminger Sea"	"4788152681"	"node"			"sea"	"Q1542675"
"Mar d'Okhotsk"	"Sea of Okhotsk"	"305639187"	"node"			"sea"	"Q41602"
"Mar de Bali"	"Laut Bali"	"8329224437"	"node"			"sea"	"Q277014"
"Mar de Banda"	"Laut Banda"	"305640128"	"node"			"sea"	"Q171510"
"Mar de Barents"	"Баренцево море"	"9382300"	"relation"			"sea"	"Q45823"
"Mar de Beaufort"	"Beaufort Sea"	"13899391"	"relation"			"sea"	"Q131274"
"Mar de Bellingshausen"	"Bellingshausen Sea"	"9359807"	"relation"			"sea"	"Q183455"
"Mar de Bering"	"Bering Sea"	"305640064"	"node"			"sea"	"Q44725"
"Mar de Bismarck"	"Bismarck Sea"	"305640096"	"node"			"sea"	"Q199436"
"Mar de Bohai"	"渤海"	"9483512"	"relation"			"sea"	"Q181969"
"Mar de Bohol"	"Bohol Sea"	"4787947566"	"node"			"sea"	"Q242326"
"Mar de Bòtnia"	"Selkämeri / Bottenhavet"	"1195287427"	"node"			"sea"	"Q1649939"
"Mar de Camotes"	"Camotes Sea"	"4787957262"	"node"			"sea"	"Q540179"
"Mar de Cèlebes"	"Celebes Sea"	"305640071"	"node"			"sea"	"Q19270"
"Mar de Creta"	"Κρητικό πέλαγος"	"305639198"	"node"			"sea"	"Q193149"
"Mar de Davis"	"Davis Sea"	"9359820"	"relation"			"sea"	"Q509321"
"Mar de Dumont d'Urville"	"Mer Dumont-d'Urville"	"9359811"	"relation"	"Mer d'Urville"		"sea"	"Q1391243"
"Mar de Fiji"	"Fiji Sea"	"4788145058"	"node"			"sea"	"Q2355931"
"Mar de Flores"	"Laut Flores"	"305640303"	"node"			"sea"	"Q150370"
"Mar de Groenlàndia"	"Greenland Sea"	"305639396"	"node"		"Mar de Grenlàndia"	"sea"	"Q132868"
"Mar de Halmahera"	"Laut Halmahera"	"305640118"	"node"			"sea"	"Q212083"
"Mar de Java"	"Laut Jawa"	"8329224435"	"node"			"sea"	"Q49364"
"Mar de Kara"	"Карское море"	"9381668"	"relation"	"Karskoye More"		"sea"	"Q33629"
"Mar de Koro"	"Koro Sea"	"4788181612"	"node"			"sea"	"Q315954"
"Mar de l'Arxipèlag"	"Saaristomeri"	"3570303559"	"node"			"sea"	"Q650654"
"Mar de la Cooperació"	"Maro de Kunlaboro"	"9359798"	"relation"			"sea"	"Q2085564"
"Mar de la Sibèria Oriental"	"Восточно-Сибирское море"	"305639695"	"node"			"sea"	"Q163434"
"Mar de la Sibèria Oriental"	"Восточно-Сибирское море"	"6253435"	"relation"			"sea"	"Q163434"
"Mar de la Xina Meridional"	"South China Sea"	"303209363"	"node"			"sea"	"Q37660"
"Mar de la Xina Oriental"	"East China Sea"	"305639414"	"node"			"sea"	"Q45341"
"Mar de Labrador"	"Labrador Sea"	"10965586396"	"node"			"sea"	"Q184189"
"Mar de Làptev"	"Море Лаптевых"	"305640305"	"node"			"sea"	"Q7988"
"Mar de Lazarev"	"Maro de Lazarev"	"9359801"	"relation"			"sea"	"Q1576063"
"Mar de les Filipines"	"Philippine Sea"	"305639170"	"node"			"sea"	"Q159183"
"Mar de les Hèbrides"	"Sea of the Hebrides"	"14907182"	"relation"			"sea"	"Q1971856"
"Mar de les Lacadives"	"Laccadive Sea"	"9328390"	"relation"			"sea"	"Q544914"
"Mar de les Moluques"	"Molucca Sea"	"305640085"	"node"			"sea"	"Q185291"
"Mar de Líbia"	"Libyan Sea"	"16501682"	"relation"			"sea"	"Q738028"
"Mar de Lincoln"	"Lincoln Sea"	"305640308"	"node"			"sea"	"Q243125"
"Mar de Llevant"	"Levantine Sea"	"4807012221"	"node"			"sea"	"Q748696"
"Mar de Màrmara"	"Marmara Denizi"	"5511568"	"relation"			"sea"	"Q35367"
"Mar de Mawson"	"Maro de Mawson"	"9359814"	"relation"			"sea"	"Q1902276"
"Mar de Mirtos"	"Μυρτώο Πέλαγος"	"4788218377"	"node"			"sea"	"Q840427"
"Mar de Noruega"	"Norwegian Sea"	"9382298"	"relation"			"sea"	"Q47545"
"Mar de Petxora"	"Печорское море"	"2831053013"	"node"			"sea"	"Q217501"
"Mar de Riiser-Larsen"	"Maro de Riiser-Larsen"	"9359800"	"relation"			"sea"	"Q1576011"
"Mar de Ross"	"Ross Sea"	"9359803"	"relation"			"sea"	"Q164466"
"Mar de Salomó"	"Solomon Sea"	"305640105"	"node"			"sea"	"Q199479"
"Mar de Samar"	"Samar Sea"	"4787993425"	"node"			"sea"	"Q392623"
"Mar de Savu"	"Laut Sawu"	"305639192"	"node"			"sea"	"Q193465"
"Mar de Scotia"	"Scotia Sea"	"305639392"	"node"			"sea"	"Q204703"
"Mar de Seram"	"Laut Seram"	"305639424"	"node"			"sea"	"Q210855"
"Mar de Sibuyan"	"Sibuyan Sea"	"4788003295"	"node"			"sea"	"Q594834"
"Mar de Somov"	"Maro de Somov"	"9359810"	"relation"			"sea"	"Q1404920"
"Mar de Sulu"	"Sulu Sea"	"305639183"	"node"			"sea"	"Q160194"
"Mar de Tasmània"	"Te Tai-o-Rehua / Tasman Sea"	"305640052"	"node"			"sea"	"Q33254"
