"name:ca"	"regio"	"comarca"	"osm_id"	"osm_type"	"name"	"wikipedia"	"wikidata"	"border_type"	"admin_level"	"ref:idescat"	"ref:ine"	"ref:INSEE"
"Portbou"	"Principat"	"Alt Empordà"	"345217"	"relation"	"Portbou"	"ca:Portbou"	"Q7165"	"municipi"	"8"	"171387"	"17138000000"	
"Rabós"	"Principat"	"Alt Empordà"	"340548"	"relation"	"Rabós"	"ca:Rabós"	"Q7126"	"municipi"	"8"	"171432"	"17143000000"	
"Riumors"	"Principat"	"Alt Empordà"	"344929"	"relation"	"Riumors"	"ca:Riumors"	"Q11818"	"municipi"	"8"	"171518"	"17151000000"	
"Roses"	"Principat"	"Alt Empordà"	"344928"	"relation"	"Roses"	"ca:Roses"	"Q11822"	"municipi"	"8"	"171523"	"17152000000"	
"Sant Climent Sescebes"	"Principat"	"Alt Empordà"	"344941"	"relation"	"Sant Climent Sescebes"	"ca:Sant Climent Sescebes"	"Q10927"	"municipi"	"8"	"171582"	"17158000000"	
"Sant Llorenç de la Muga"	"Principat"	"Alt Empordà"	"344630"	"relation"	"Sant Llorenç de la Muga"	"ca:Sant Llorenç de la Muga"	"Q11832"	"municipi"	"8"	"171714"	"17171000000"	
"Sant Miquel de Fluvià"	"Principat"	"Alt Empordà"	"344626"	"relation"	"Sant Miquel de Fluvià"	"ca:Sant Miquel de Fluvià"	"Q11837"	"municipi"	"8"	"171753"	"17175000000"	
"Sant Mori"	"Principat"	"Alt Empordà"	"344629"	"relation"	"Sant Mori"	"ca:Sant Mori"	"Q11844"	"municipi"	"8"	"171766"	"17176000000"	
"Sant Pere Pescador"	"Principat"	"Alt Empordà"	"344634"	"relation"	"Sant Pere Pescador"	"ca:Sant Pere Pescador"	"Q11852"	"municipi"	"8"	"171788"	"17178000000"	
"Santa Llogaia d'Àlguema"	"Principat"	"Alt Empordà"	"342521"	"relation"	"Santa Llogaia d'Àlguema"	"ca:Santa Llogaia d'Àlguema"	"Q11858"	"municipi"	"8"	"171827"	"17182000000"	
"Saus, Camallera i Llampaies"	"Principat"	"Alt Empordà"	"342526"	"relation"	"Saus, Camallera i Llampaies"	"ca:Saus, Camallera i Llampaies"	"Q11865"	"municipi"	"8"	"171870"	"17187000000"	
"Siurana"	"Principat"	"Alt Empordà"	"343219"	"relation"	"Siurana"	"ca:Siurana"	"Q29044"	"municipi"	"8"	"170524"	"17052000000"	
"Terrades"	"Principat"	"Alt Empordà"	"346725"	"relation"	"Terrades"	"ca:Terrades"	"Q11897"	"municipi"	"8"	"171962"	"17196000000"	
"Torroella de Fluvià"	"Principat"	"Alt Empordà"	"346723"	"relation"	"Torroella de Fluvià"	"ca:Torroella de Fluvià"	"Q11902"	"municipi"	"8"	"171984"	"17198000000"	
"Ventalló"	"Principat"	"Alt Empordà"	"347893"	"relation"	"Ventalló"	"ca:Ventalló"	"Q11908"	"municipi"	"8"	"172109"	"17210000000"	
"Vila-sacra"	"Principat"	"Alt Empordà"	"347611"	"relation"	"Vila-sacra"	"ca:Vila-sacra"	"Q1043496"	"municipi"	"8"	"172305"	"17230000000"	
"Vilabertran"	"Principat"	"Alt Empordà"	"347889"	"relation"	"Vilabertran"	"ca:Vilabertran"	"Q12148"	"municipi"	"8"	"172142"	"17214000000"	
"Viladamat"	"Principat"	"Alt Empordà"	"345022"	"relation"	"Viladamat"	"ca:Viladamat"	"Q12151"	"municipi"	"8"	"172174"	"17217000000"	
"Vilafant"	"Principat"	"Alt Empordà"	"342990"	"relation"	"Vilafant"	"ca:Vilafant"	"Q12153"	"municipi"	"8"	"172214"	"17221000000"	
"Vilajuïga"	"Principat"	"Alt Empordà"	"342992"	"relation"	"Vilajuïga"	"ca:Vilajuïga"	"Q12159"	"municipi"	"8"	"172235"	"17223000000"	
"Vilamacolum"	"Principat"	"Alt Empordà"	"342986"	"relation"	"Vilamacolum"	"ca:Vilamacolum"	"Q12161"	"municipi"	"8"	"172253"	"17225000000"	
"Vilamalla"	"Principat"	"Alt Empordà"	"342989"	"relation"	"Vilamalla"	"ca:Vilamalla"	"Q12163"	"municipi"	"8"	"172266"	"17226000000"	
"Vilamaniscle"	"Principat"	"Alt Empordà"	"342988"	"relation"	"Vilamaniscle"	"ca:Vilamaniscle"	"Q12165"	"municipi"	"8"	"172272"	"17227000000"	
"Vilanant"	"Principat"	"Alt Empordà"	"342985"	"relation"	"Vilanant"	"ca:Vilanant"	"Q12173"	"municipi"	"8"	"172288"	"17228000000"	
"Vilaür"	"Principat"	"Alt Empordà"	"342993"	"relation"	"Vilaür"	"ca:Vilaür"	"Q12177"	"municipi"	"8"	"172229"	"17222000000"	
"Avinyonet del Penedès"	"Principat"	"Alt Penedès"	"347956"	"relation"	"Avinyonet del Penedès"	"ca:Avinyonet del Penedès"	"Q791068"	"municipi"	"8"	"080137"	"08013000000"	
"Castellet i la Gornal"	"Principat"	"Alt Penedès"	"339621"	"relation"	"Castellet i la Gornal"	"ca:Castellet i la Gornal"	"Q1228799"	"municipi"	"8"	"080581"	"08058000000"	
"Castellví de la Marca"	"Principat"	"Alt Penedès"	"344376"	"relation"	"Castellví de la Marca"	"ca:Castellví de la Marca"	"Q765591"	"municipi"	"8"	"080654"	"08065000000"	
"el Pla del Penedès"	"Principat"	"Alt Penedès"	"345702"	"relation"	"el Pla del Penedès"	"ca:El Pla del Penedès"	"Q1312464"	"municipi"	"8"	"081640"	"08164000000"	
"Font-rubí"	"Principat"	"Alt Penedès"	"342064"	"relation"	"Font-rubí"	"ca:Font-rubí"	"Q984398"	"municipi"	"8"	"080850"	"08085000000"	
"Gelida"	"Principat"	"Alt Penedès"	"346615"	"relation"	"Gelida"	"ca:Gelida"	"Q763729"	"municipi"	"8"	"080919"	"08091000000"	
"la Granada"	"Principat"	"Alt Penedès"	"346610"	"relation"	"la Granada"	"ca:La Granada"	"Q1228808"	"municipi"	"8"	"080945"	"08094000000"	
"les Cabanyes"	"Principat"	"Alt Penedès"	"343716"	"relation"	"les Cabanyes"	"ca:Les Cabanyes"	"Q1228790"	"municipi"	"8"	"080272"	"08027000000"	
"Mediona"	"Principat"	"Alt Penedès"	"345816"	"relation"	"Mediona"	"ca:Mediona"	"Q686790"	"municipi"	"8"	"081228"	"08122000000"	
"Olèrdola"	"Principat"	"Alt Penedès"	"346004"	"relation"	"Olèrdola"	"ca:Olèrdola"	"Q1228441"	"municipi"	"8"	"081458"	"08145000000"	
"Olesa de Bonesvalls"	"Principat"	"Alt Penedès"	"346005"	"relation"	"Olesa de Bonesvalls"	"ca:Olesa de Bonesvalls"	"Q659734"	"municipi"	"8"	"081461"	"08146000000"	
"Pacs del Penedès"	"Principat"	"Alt Penedès"	"341416"	"relation"	"Pacs del Penedès"	"ca:Pacs del Penedès"	"Q958681"	"municipi"	"8"	"081542"	"08154000000"	
"Pontons"	"Principat"	"Alt Penedès"	"340848"	"relation"	"Pontons"	"ca:Pontons"	"Q1229275"	"municipi"	"8"	"081688"	"08168000000"	
"Puigdàlber"	"Principat"	"Alt Penedès"	"341051"	"relation"	"Puigdàlber"	"ca:Puigdàlber"	"Q1230115"	"municipi"	"8"	"081748"	"08174000000"	
"Sant Cugat Sesgarrigues"	"Principat"	"Alt Penedès"	"347538"	"relation"	"Sant Cugat Sesgarrigues"	"ca:Sant Cugat Sesgarrigues"	"Q584252"	"municipi"	"8"	"082068"	"08206000000"	
"Sant Llorenç d'Hortons"	"Principat"	"Alt Penedès"	"340441"	"relation"	"Sant Llorenç d'Hortons"	"ca:Sant Llorenç d'Hortons"	"Q321918"	"municipi"	"8"	"082227"	"08222000000"	
"Sant Martí Sarroca"	"Principat"	"Alt Penedès"	"340445"	"relation"	"Sant Martí Sarroca"	"ca:Sant Martí Sarroca"	"Q593512"	"municipi"	"8"	"082270"	"08227000000"	
"Sant Pere de Riudebitlles"	"Principat"	"Alt Penedès"	"341445"	"relation"	"Sant Pere de Riudebitlles"	"ca:Sant Pere de Riudebitlles"	"Q633095"	"municipi"	"8"	"082325"	"08232000000"	
"Sant Quintí de Mediona"	"Principat"	"Alt Penedès"	"341330"	"relation"	"Sant Quintí de Mediona"	"ca:Sant Quintí de Mediona"	"Q648963"	"municipi"	"8"	"082362"	"08236000000"	
"Sant Sadurní d'Anoia"	"Principat"	"Alt Penedès"	"347477"	"relation"	"Sant Sadurní d'Anoia"	"ca:Sant Sadurní d'Anoia"	"Q984508"	"municipi"	"8"	"082401"	"08240000000"	
"Santa Fe del Penedès"	"Principat"	"Alt Penedès"	"346758"	"relation"	"Santa Fe del Penedès"	"ca:Santa Fe del Penedès"	"Q920409"	"municipi"	"8"	"082495"	"08249000000"	
"Santa Margarida i els Monjos"	"Principat"	"Alt Penedès"	"339493"	"relation"	"Santa Margarida i els Monjos"	"ca:Santa Margarida i els Monjos"	"Q660350"	"municipi"	"8"	"082515"	"08251000000"	
"Subirats"	"Principat"	"Alt Penedès"	"342216"	"relation"	"Subirats"	"ca:Subirats"	"Q782758"	"municipi"	"8"	"082732"	"08273000000"	
"Terrassola i Lavit"	"Principat"	"Alt Penedès"	"346131"	"relation"	"Torrelavit"	"ca:Terrassola i Lavit"	"Q1228768"	"municipi"	"8"	"082877"	"08287000000"	
"Torrelles de Foix"	"Principat"	"Alt Penedès"	"346101"	"relation"	"Torrelles de Foix"	"ca:Torrelles de Foix"	"Q984393"	"municipi"	"8"	"082883"	"08288000000"	
"Vilafranca del Penedès"	"Principat"	"Alt Penedès"	"344518"	"relation"	"Vilafranca del Penedès"	"ca:Vilafranca del Penedès"	"Q835012"	"municipi"	"8"	"083054"	"08305000000"	
"Vilobí del Penedès"	"Principat"	"Alt Penedès"	"344517"	"relation"	"Vilobí del Penedès"	"ca:Vilobí del Penedès"	"Q1228795"	"municipi"	"8"	"083041"	"08304000000"	
"Alàs i Cerc"	"Principat"	"Alt Urgell"	"348142"	"relation"	"Alàs i Cerc"	"ca:Alàs i Cerc"	"Q1647251"	"municipi"	"8"	"250058"	"25005000000"	
"Arsèguel"	"Principat"	"Alt Urgell"	"343324"	"relation"	"Arsèguel"	"ca:Arsèguel"	"Q1645033"	"municipi"	"8"	"250328"	"25032000000"	
"Bassella"	"Principat"	"Alt Urgell"	"339821"	"relation"	"Bassella"	"ca:Bassella"	"Q810494"	"municipi"	"8"	"250447"	"25044000000"	
"Cabó"	"Principat"	"Alt Urgell"	"339499"	"relation"	"Cabó"	"ca:Cabó"	"Q1752450"	"municipi"	"8"	"250616"	"25061000000"	
"Cava"	"Principat"	"Alt Urgell"	"343953"	"relation"	"Cava"	"ca:Cava (Alt Urgell)"	"Q1752298"	"municipi"	"8"	"250714"	"25071000000"	
"Coll de Nargó"	"Principat"	"Alt Urgell"	"343959"	"relation"	"Coll de Nargó"	"ca:Coll de Nargó"	"Q969224"	"municipi"	"8"	"250772"	"25077000000"	
"el Pont de Bar"	"Principat"	"Alt Urgell"	"343322"	"relation"	"el Pont de Bar"	"ca:El Pont de Bar"	"Q1645028"	"municipi"	"8"	"250306"	"25030000000"	
"Estamariu"	"Principat"	"Alt Urgell"	"346865"	"relation"	"Estamariu"	"ca:Estamariu"	"Q1641450"	"municipi"	"8"	"250886"	"25088000000"	
"Fígols i Alinyà"	"Principat"	"Alt Urgell"	"341320"	"relation"	"Fígols i Alinyà"	"ca:Fígols i Alinyà"	"Q984431"	"municipi"	"8"	"259084"	"25908000000"	
"Josa i Tuixén"	"Principat"	"Alt Urgell"	"345922"	"relation"	"Josa i Tuixén"	"ca:Josa i Tuixén"	"Q984429"	"municipi"	"8"	"259101"	"25910000000"	
"la Seu d'Urgell"	"Principat"	"Alt Urgell"	"347353"	"relation"	"la Seu d'Urgell"	"ca:La Seu d'Urgell"	"Q673412"	"municipi"	"8"	"252038"	"25203000000"	
"la Vansa i Fórnols"	"Principat"	"Alt Urgell"	"341319"	"relation"	"la Vansa i Fórnols"	"ca:La Vansa i Fórnols"	"Q576923"	"municipi"	"8"	"259097"	"25909000000"	
"les Valls d'Aguilar"	"Principat"	"Alt Urgell"	"341311"	"relation"	"les Valls d'Aguilar"	"ca:Les Valls d'Aguilar"	"Q1769546"	"municipi"	"8"	"259062"	"25906000000"	
"les Valls de Valira"	"Principat"	"Alt Urgell"	"343017"	"relation"	"les Valls de Valira"	"ca:Les Valls de Valira"	"Q942294"	"municipi"	"8"	"252398"	"25239000000"	
"Montferrer i Castellbò"	"Principat"	"Alt Urgell"	"346681"	"relation"	"Montferrer i Castellbò"	"ca:Montferrer i Castellbò"	"Q1752320"	"municipi"	"8"	"251403"	"25140000000"	
"Oliana"	"Principat"	"Alt Urgell"	"346686"	"relation"	"Oliana"	"ca:Oliana"	"Q1644356"	"municipi"	"8"	"251497"	"25149000000"	
"Organyà"	"Principat"	"Alt Urgell"	"342498"	"relation"	"Organyà"	"ca:Organyà"	"Q983476"	"municipi"	"8"	"251556"	"25155000000"	
"Peramola"	"Principat"	"Alt Urgell"	"346986"	"relation"	"Peramola"	"ca:Peramola"	"Q1637517"	"municipi"	"8"	"251654"	"25165000000"	
"Ribera d'Urgellet"	"Principat"	"Alt Urgell"	"344942"	"relation"	"Ribera d'Urgellet"	"ca:Ribera d'Urgellet"	"Q1646576"	"municipi"	"8"	"251850"	"25185000000"	
"el Pont de Suert"	"Principat"	"Alta Ribagorça"	"342835"	"relation"	"el Pont de Suert"	"ca:El Pont de Suert"	"Q12708"	"municipi"	"8"	"251734"	"25173000000"	
"la Vall de Boí"	"Principat"	"Alta Ribagorça"	"339820"	"relation"	"la Vall de Boí"	"ca:La Vall de Boí"	"Q12711"	"municipi"	"8"	"250432"	"25043000000"	
"Vilaller"	"Principat"	"Alta Ribagorça"	"347885"	"relation"	"Vilaller"	"ca:Vilaller"	"Q12715"	"municipi"	"8"	"252458"	"25245000000"	
"Argençola"	"Principat"	"Anoia"	"343397"	"relation"	"Argençola"	"ca:Argençola"	"Q15936"	"municipi"	"8"	"080082"	"08008000000"	
"Bellprat"	"Principat"	"Anoia"	"343714"	"relation"	"Bellprat"	"ca:Bellprat"	"Q15937"	"municipi"	"8"	"080214"	"08021000000"	
"Cabrera d'Anoia"	"Principat"	"Anoia"	"343711"	"relation"	"Cabrera d'Anoia"	"ca:Cabrera d'Anoia"	"Q15939"	"municipi"	"8"	"080288"	"08028000000"	
"Calaf"	"Principat"	"Anoia"	"348825"	"relation"	"Calaf"	"ca:Calaf"	"Q15940"	"municipi"	"8"	"080312"	"08031000000"	
"Calonge de Segarra"	"Principat"	"Anoia"	"348822"	"relation"	"Calonge de Segarra"	"ca:Calonge de Segarra"	"Q15941"	"municipi"	"8"	"080364"	"08036000000"	
"Capellades"	"Principat"	"Anoia"	"344065"	"relation"	"Capellades"	"ca:Capellades"	"Q15942"	"municipi"	"8"	"080446"	"08044000000"	
"Carme"	"Principat"	"Anoia"	"344069"	"relation"	"Carme"	"ca:Carme"	"Q15943"	"municipi"	"8"	"080484"	"08048000000"	
"Castellfollit de Riubregós"	"Principat"	"Anoia"	"344381"	"relation"	"Castellfollit de Riubregós"	"ca:Castellfollit de Riubregós"	"Q15945"	"municipi"	"8"	"080608"	"08060000000"	
"Castellolí"	"Principat"	"Anoia"	"344378"	"relation"	"Castellolí"	"ca:Castellolí"	"Q15946"	"municipi"	"8"	"080636"	"08063000000"	
"Copons"	"Principat"	"Anoia"	"339966"	"relation"	"Copons"	"ca:Copons"	"Q15947"	"municipi"	"8"	"080713"	"08071000000"	
"el Bruc"	"Principat"	"Anoia"	"343718"	"relation"	"el Bruc"	"ca:El Bruc"	"Q15938"	"municipi"	"8"	"080253"	"08025000000"	
"els Hostalets de Pierola"	"Principat"	"Anoia"	"345695"	"relation"	"els Hostalets de Pierola"	"ca:Els Hostalets de Pierola"	"Q15949"	"municipi"	"8"	"081629"	"08162000000"	
"els Prats de Rei"	"Principat"	"Anoia"	"341047"	"relation"	"els Prats de Rei"	"ca:Els Prats de Rei"	"Q15961"	"municipi"	"8"	"081705"	"08170000000"	
"Igualada"	"Principat"	"Anoia"	"345402"	"relation"	"Igualada"	"ca:Igualada"	"Q15950"	"municipi"	"8"	"081022"	"08102000000"	
"Jorba"	"Principat"	"Anoia"	"347911"	"relation"	"Jorba"	"ca:Jorba"	"Q15951"	"municipi"	"8"	"081038"	"08103000000"	
"la Llacuna"	"Principat"	"Anoia"	"345396"	"relation"	"la Llacuna"	"ca:La Llacuna"	"Q15952"	"municipi"	"8"	"081043"	"08104000000"	
"la Pobla de Claramunt"	"Principat"	"Anoia"	"340843"	"relation"	"la Pobla de Claramunt"	"ca:La Pobla de Claramunt"	"Q15960"	"municipi"	"8"	"081653"	"08165000000"	
"la Torre de Claramunt"	"Principat"	"Anoia"	"343659"	"relation"	"la Torre de Claramunt"	"ca:La Torre de Claramunt"	"Q15971"	"municipi"	"8"	"082861"	"08286000000"	
"Masquefa"	"Principat"	"Anoia"	"340791"	"relation"	"Masquefa"	"ca:Masquefa"	"Q15954"	"municipi"	"8"	"081192"	"08119000000"	
"Montmaneu"	"Principat"	"Anoia"	"340381"	"relation"	"Montmaneu"	"ca:Montmaneu"	"Q15955"	"municipi"	"8"	"081332"	"08133000000"	
"Òdena"	"Principat"	"Anoia"	"345423"	"relation"	"Òdena"	"ca:Òdena"	"Q15957"	"municipi"	"8"	"081430"	"08143000000"	
"Orpí"	"Principat"	"Anoia"	"341418"	"relation"	"Orpí"	"ca:Orpí"	"Q15958"	"municipi"	"8"	"081521"	"08152000000"	
"Piera"	"Principat"	"Anoia"	"345699"	"relation"	"Piera"	"ca:Piera"	"Q15959"	"municipi"	"8"	"081614"	"08161000000"	
"Pujalt"	"Principat"	"Anoia"	"341053"	"relation"	"Pujalt"	"ca:Pujalt"	"Q15962"	"municipi"	"8"	"081764"	"08176000000"	
"Rubió"	"Principat"	"Anoia"	"344201"	"relation"	"Rubió"	"ca:Rubió"	"Q15963"	"municipi"	"8"	"081859"	"08185000000"	
"Sant Martí de Tous"	"Principat"	"Anoia"	"340446"	"relation"	"Sant Martí de Tous"	"ca:Sant Martí de Tous"	"Q15966"	"municipi"	"8"	"082264"	"08226000000"	
"Sant Martí Sesgueioles"	"Principat"	"Anoia"	"340448"	"relation"	"Sant Martí Sesgueioles"	"ca:Sant Martí Sesgueioles"	"Q15964"	"municipi"	"8"	"082286"	"08228000000"	
"Sant Pere Sallavinera"	"Principat"	"Anoia"	"344199"	"relation"	"Sant Pere Sallavinera"	"ca:Sant Pere Sallavinera"	"Q15967"	"municipi"	"8"	"081897"	"08189000000"	
"Santa Margarida de Montbui"	"Principat"	"Anoia"	"339492"	"relation"	"Santa Margarida de Montbui"	"ca:Santa Margarida de Montbui"	"Q15968"	"municipi"	"8"	"082508"	"08250000000"	
"Santa Maria de Miralles"	"Principat"	"Anoia"	"342590"	"relation"	"Santa Maria de Miralles"	"ca:Santa Maria de Miralles"	"Q15970"	"municipi"	"8"	"082573"	"08257000000"	
"Vallbona d'Anoia"	"Principat"	"Anoia"	"341896"	"relation"	"Vallbona d'Anoia"	"ca:Vallbona d'Anoia"	"Q15972"	"municipi"	"8"	"082922"	"08292000000"	
"Veciana"	"Principat"	"Anoia"	"341901"	"relation"	"Veciana"	"ca:Veciana"	"Q15973"	"municipi"	"8"	"082975"	"08297000000"	
"Vilanova del Camí"	"Principat"	"Anoia"	"344519"	"relation"	"Vilanova del Camí"	"ca:Vilanova del Camí"	"Q15974"	"municipi"	"8"	"083020"	"08302000000"	
"Aguilar de Segarra"	"Principat"	"Bages"	"344406"	"relation"	"Aguilar de Segarra"	"ca:Aguilar de Segarra"	"Q16675"	"municipi"	"8"	"080023"	"08002000000"	
"Artés"	"Principat"	"Bages"	"347957"	"relation"	"Artés"	"ca:Artés"	"Q16677"	"municipi"	"8"	"080109"	"08010000000"	
"Avinyó"	"Principat"	"Bages"	"347955"	"relation"	"Avinyó"	"ca:Avinyó"	"Q16678"	"municipi"	"8"	"080121"	"08012000000"	
"Balsareny"	"Principat"	"Bages"	"347949"	"relation"	"Balsareny"	"ca:Balsareny"	"Q16679"	"municipi"	"8"	"080180"	"08018000000"	
"Callús"	"Principat"	"Bages"	"348829"	"relation"	"Callús"	"ca:Callús"	"Q16682"	"municipi"	"8"	"080386"	"08038000000"	
"Cardona"	"Principat"	"Bages"	"344066"	"relation"	"Cardona"	"ca:Cardona"	"Q16683"	"municipi"	"8"	"080478"	"08047000000"	
"Castellbell i el Vilar"	"Principat"	"Bages"	"339614"	"relation"	"Castellbell i el Vilar"	"ca:Castellbell i el Vilar"	"Q16684"	"municipi"	"8"	"080538"	"08053000000"	
"Castellfollit del Boix"	"Principat"	"Bages"	"339622"	"relation"	"Castellfollit del Boix"	"ca:Castellfollit del Boix"	"Q16685"	"municipi"	"8"	"080594"	"08059000000"	
"Castellgalí"	"Principat"	"Bages"	"344380"	"relation"	"Castellgalí"	"ca:Castellgalí"	"Q16686"	"municipi"	"8"	"080615"	"08061000000"	
"Castellnou de Bages"	"Principat"	"Bages"	"344379"	"relation"	"Castellnou de Bages"	"ca:Castellnou de Bages"	"Q16687"	"municipi"	"8"	"080620"	"08062000000"	
"el Pont de Vilomara i Rocafort"	"Principat"	"Bages"	"344205"	"relation"	"el Pont de Vilomara i Rocafort"	"ca:El Pont de Vilomara i Rocafort"	"Q16726"	"municipi"	"8"	"081825"	"08182000000"	
"Fonollosa"	"Principat"	"Bages"	"342065"	"relation"	"Fonollosa"	"ca:Fonollosa"	"Q16695"	"municipi"	"8"	"080847"	"08084000000"	
"Gaià"	"Principat"	"Bages"	"346614"	"relation"	"Gaià"	"ca:Gaià"	"Q16696"	"municipi"	"8"	"080902"	"08090000000"	
"Manresa"	"Principat"	"Bages"	"346721"	"relation"	"Manresa"	"ca:Manresa"	"Q16697"	"municipi"	"8"	"081136"	"08113000000"	
"Marganell"	"Principat"	"Bages"	"347470"	"relation"	"Marganell"	"ca:Marganell"	"Q16698"	"municipi"	"8"	"082423"	"08242000000"	
"Monistrol de Montserrat"	"Principat"	"Bages"	"345549"	"relation"	"Monistrol de Montserrat"	"ca:Monistrol de Montserrat"	"Q16704"	"municipi"	"8"	"081271"	"08127000000"	
"Mura"	"Principat"	"Bages"	"340373"	"relation"	"Mura"	"ca:Mura"	"Q16722"	"municipi"	"8"	"081398"	"08139000000"	
"Navarcles"	"Principat"	"Bages"	"345999"	"relation"	"Navarcles"	"ca:Navarcles"	"Q16723"	"municipi"	"8"	"081402"	"08140000000"	
"Navars"	"Principat"	"Bages"	"346000"	"relation"	"Navàs"	"ca:Navars"	"Q16724"	"municipi"	"8"	"081419"	"08141000000"	
"Rajadell"	"Principat"	"Bages"	"339862"	"relation"	"Rajadell"	"ca:Rajadell"	"Q16727"	"municipi"	"8"	"081786"	"08178000000"	
"Sallent"	"Principat"	"Bages"	"348945"	"relation"	"Sallent"	"ca:Sallent"	"Q16728"	"municipi"	"8"	"081918"	"08191000000"	
"Sant Feliu Sasserra"	"Principat"	"Bages"	"343441"	"relation"	"Sant Feliu Sasserra"	"ca:Sant Feliu Sasserra"	"Q16729"	"municipi"	"8"	"082129"	"08212000000"	
"Sant Fruitós de Bages"	"Principat"	"Bages"	"343444"	"relation"	"Sant Fruitós de Bages"	"ca:Sant Fruitós de Bages"	"Q16730"	"municipi"	"8"	"082135"	"08213000000"	
"Sant Joan de Vilatorrada"	"Principat"	"Bages"	"343235"	"relation"	"Sant Joan de Vilatorrada"	"ca:Sant Joan de Vilatorrada"	"Q16731"	"municipi"	"8"	"082188"	"08218000000"	
"Sant Mateu de Bages"	"Principat"	"Bages"	"340447"	"relation"	"Sant Mateu de Bages"	"ca:Sant Mateu de Bages"	"Q16732"	"municipi"	"8"	"082299"	"08229000000"	
"Sant Salvador de Guardiola"	"Principat"	"Bages"	"346616"	"relation"	"Sant Salvador de Guardiola"	"ca:Sant Salvador de Guardiola"	"Q16733"	"municipi"	"8"	"080983"	"08098000000"	
"Sant Vicenç de Castellet"	"Principat"	"Bages"	"346446"	"relation"	"Sant Vicenç de Castellet"	"ca:Sant Vicenç de Castellet"	"Q16734"	"municipi"	"8"	"082628"	"08262000000"	
"Santpedor"	"Principat"	"Bages"	"348944"	"relation"	"Santpedor"	"ca:Santpedor"	"Q16736"	"municipi"	"8"	"081923"	"08192000000"	
"Súria"	"Principat"	"Bages"	"346328"	"relation"	"Súria"	"ca:Súria"	"Q16737"	"municipi"	"8"	"082747"	"08274000000"	
"Talamanca"	"Principat"	"Bages"	"342212"	"relation"	"Talamanca"	"ca:Talamanca"	"Q16738"	"municipi"	"8"	"082779"	"08277000000"	
"Alforja"	"Principat"	"Baix Camp"	"342696"	"relation"	"Alforja"	"ca:Alforja"	"Q771036"	"municipi"	"8"	"430094"	"43009000000"	
"Almoster"	"Principat"	"Baix Camp"	"346861"	"relation"	"Almoster"	"ca:Almoster"	"Q542633"	"municipi"	"8"	"430115"	"43011000000"	
"Arbolí"	"Principat"	"Baix Camp"	"346857"	"relation"	"Arbolí"	"ca:Arbolí"	"Q1232065"	"municipi"	"8"	"430154"	"43015000000"	
"Botarell"	"Principat"	"Baix Camp"	"346545"	"relation"	"Botarell"	"ca:Botarell"	"Q1248482"	"municipi"	"8"	"430332"	"43033000000"	
"Cambrils"	"Principat"	"Baix Camp"	"346541"	"relation"	"Cambrils"	"ca:Cambrils"	"Q828572"	"municipi"	"8"	"430385"	"43038000000"	
"Capafonts"	"Principat"	"Baix Camp"	"346540"	"relation"	"Capafonts"	"ca:Capafonts"	"Q645266"	"municipi"	"8"	"430398"	"43039000000"	
"Castellvell del Camp"	"Principat"	"Baix Camp"	"342006"	"relation"	"Castellvell del Camp"	"ca:Castellvell del Camp"	"Q1230080"	"municipi"	"8"	"430424"	"43042000000"	
"Colldejou"	"Principat"	"Baix Camp"	"342001"	"relation"	"Colldejou"	"ca:Colldejou"	"Q685134"	"municipi"	"8"	"430458"	"43045000000"	
"Duesaigües"	"Principat"	"Baix Camp"	"346228"	"relation"	"Duesaigües"	"ca:Duesaigües"	"Q537265"	"municipi"	"8"	"430537"	"43053000000"	
"l'Albiol"	"Principat"	"Baix Camp"	"342690"	"relation"	"l'Albiol"	"ca:L'Albiol"	"Q1229669"	"municipi"	"8"	"430038"	"43003000000"	
"l'Aleixar"	"Principat"	"Baix Camp"	"342694"	"relation"	"l'Aleixar"	"ca:L'Aleixar"	"Q1233410"	"municipi"	"8"	"430075"	"43007000000"	
"l'Argentera"	"Principat"	"Baix Camp"	"346855"	"relation"	"l'Argentera"	"ca:L'Argentera"	"Q1231311"	"municipi"	"8"	"430173"	"43017000000"	
"la Febró"	"Principat"	"Baix Camp"	"346232"	"relation"	"la Febró"	"ca:La Febró"	"Q374761"	"municipi"	"8"	"430574"	"43057000000"	
"la Selva del Camp"	"Principat"	"Baix Camp"	"339873"	"relation"	"la Selva del Camp"	"ca:La Selva del Camp"	"Q1230100"	"municipi"	"8"	"431457"	"43145000000"	
"les Borges del Camp"	"Principat"	"Baix Camp"	"346543"	"relation"	"les Borges del Camp"	"ca:Les Borges del Camp"	"Q1230160"	"municipi"	"8"	"430311"	"43031000000"	
"Maspujols"	"Principat"	"Baix Camp"	"343940"	"relation"	"Maspujols"	"ca:Maspujols"	"Q534007"	"municipi"	"8"	"430810"	"43081000000"	
"Mont-roig del Camp"	"Principat"	"Baix Camp"	"348138"	"relation"	"Mont-roig del Camp"	"ca:Mont-roig del Camp"	"Q929794"	"municipi"	"8"	"430923"	"43092000000"	
"Montbrió del Camp"	"Principat"	"Baix Camp"	"343936"	"relation"	"Montbrió del Camp"	"ca:Montbrió del Camp"	"Q1242365"	"municipi"	"8"	"430884"	"43088000000"	
"Prades"	"Principat"	"Baix Camp"	"345211"	"relation"	"Prades"	"ca:Prades"	"Q1233494"	"municipi"	"8"	"431166"	"43116000000"	
