"name:ca"	"regio"	"comarca"	"osm_id"	"osm_type"	"name"	"wikipedia"	"wikidata"	"border_type"	"admin_level"	"ref:idescat"	"ref:ine"	"ref:INSEE"
"Bolquera"	"CatNord"	"Alta Cerdanya"	"1966208"	"relation"	"Bolquère"	"fr:Bolquère"	"Q1101891"		"8"			"66020"
"Dorres"	"CatNord"	"Alta Cerdanya"	"2814309"	"relation"	"Dorres"	"fr:Dorres"	"Q1093077"		"8"			"66062"
"Èguet"	"CatNord"	"Alta Cerdanya"	"54461"	"relation"	"Égat"	"fr:Égat"	"Q1163187"		"8"			"66064"
"Eina"	"CatNord"	"Alta Cerdanya"	"409749"	"relation"	"Eyne"	"fr:Eyne"	"Q290830"		"8"			"66075"
"Enveig"	"CatNord"	"Alta Cerdanya"	"74308"	"relation"	"Enveitg"	"fr:Enveitg"	"Q752263"		"8"			"66066"
"Er"	"CatNord"	"Alta Cerdanya"	"123160"	"relation"	"Err"	"fr:Err (Pyrénées-Orientales)"	"Q1369252"		"8"			"66067"
"Estavar"	"CatNord"	"Alta Cerdanya"	"51547"	"relation"	"Estavar"	"fr:Estavar"	"Q190407"		"8"			"66072"
"Font-romeu, Odelló i Vià"	"CatNord"	"Alta Cerdanya"	"18496"	"relation"	"Font-Romeu-Odeillo-Via"	"fr:Font-Romeu-Odeillo-Via"	"Q458715"		"8"			"66124"
"la Guingueta d'Ix"	"CatNord"	"Alta Cerdanya"	"1820709"	"relation"	"Bourg-Madame"	"fr:Bourg-Madame"	"Q329276"		"8"			"66025"
"la Tor de Querol"	"CatNord"	"Alta Cerdanya"	"392022"	"relation"	"Latour-de-Carol"	"fr:Latour-de-Carol"	"Q1114031"		"8"			"66095"
"Llo"	"CatNord"	"Alta Cerdanya"	"1235861"	"relation"	"Llo"	"fr:Llo"	"Q632053"		"8"			"66100"
"Naüja"	"CatNord"	"Alta Cerdanya"	"74281"	"relation"	"Nahuja"	"fr:Nahuja"	"Q585468"		"8"			"66120"
"Oceja"	"CatNord"	"Alta Cerdanya"	"80067"	"relation"	"Osséja"	"fr:Osséja"	"Q1369732"		"8"			"66130"
"Palau de Cerdanya"	"CatNord"	"Alta Cerdanya"	"392033"	"relation"	"Palau-de-Cerdagne"	"fr:Palau-de-Cerdagne"	"Q545632"		"8"			"66132"
"Porta"	"CatNord"	"Alta Cerdanya"	"2084436"	"relation"	"Porta"	"fr:Porta"	"Q198196"		"8"			"66146"
"Portè"	"CatNord"	"Alta Cerdanya"	"409377"	"relation"	"Porté-Puymorens"	"fr:Porté-Puymorens"	"Q1072001"		"8"			"66147"
"Sallagosa"	"CatNord"	"Alta Cerdanya"	"74277"	"relation"	"Saillagouse"	"fr:Saillagouse"	"Q582724"		"8"			"66167"
"Santa Llocaia"	"CatNord"	"Alta Cerdanya"	"1952519"	"relation"	"Sainte-Léocadie"	"fr:Sainte-Léocadie"	"Q1369688"		"8"			"66181"
"Targasona"	"CatNord"	"Alta Cerdanya"	"74988"	"relation"	"Targasonne"	"fr:Targasonne"	"Q1350666"		"8"			"66202"
"Ur"	"CatNord"	"Alta Cerdanya"	"74284"	"relation"	"Ur"	"fr:Ur (Pyrénées-Orientales)"	"Q632044"		"8"			"66218"
"Vallcebollera"	"CatNord"	"Alta Cerdanya"	"392027"	"relation"	"Valcebollère"	"fr:Valcebollère"	"Q516509"		"8"			"66220"
"els Angles"	"CatNord"	"Capcir"	"53365"	"relation"	"Les Angles"	"fr:Les Angles (Pyrénées-Orientales)"	"Q1110114"		"8"			"66004"
"Font-rabiosa"	"CatNord"	"Capcir"	"2814982"	"relation"	"Fontrabiouse"	"fr:Fontrabiouse"	"Q1071929"		"8"			"66081"
