"estat"	"name:ca"	"name"	"osm_id"	"osm_type"	"admin_level"	"alt_name"	"alt_name:ca"	"capital"	"capital:defacto"	"capital:executive"	"capital:judicial"	"capital:legislative"	"int_name"	"loc_name"	"long_name"	"nat_name"	"official_name"	"official_name:ca"	"old_name"	"old_name:ca"	"place"	"reg_name"	"short_name"	"shortest_name"	"wikidata"
	"Astana"	"Астана"	"3087156"	"relation"				"yes"											"Нур-Султан;Целиноград;Акмола"		"city"				"Q1520"
	"Ciutat del Cap"	"Cape Town"	"32675806"	"node"	"2"			"yes"				"yes"									"city"				"Q5465"
	"Erevan"	"Երևան"	"364087"	"relation"	"4"			"yes"					"Yerevan"								"city"				"Q1953"
	"Hèlsinki"	"Helsinki"	"34914"	"relation"	"8"	"Hesa;Stadi"		"yes"													"city"				"Q1757"
	"l'Havana"	"La Habana"	"1854615"	"relation"	"4"			"yes"									"Provincia de Ciudad de La Habana"								"Q12588"
	"Lomé"	"Lomé"	"6607308"	"relation"	"8"			"yes"													"city"				"Q3792"
	"Majuro"	"Mājro"	"385761740"	"node"	"2"			"yes"					"Majuro"								"city"				"Q12919"
	"París"	"Paris"	"7444"	"relation"	"8"			"yes"																	"Q90"
	"Taipei"	"臺北市"	"1293250"	"relation"	"4"	"台北市"		"yes"																	"Q1867"
	"Taixkent"	"Toshkent"	"2216724"	"relation"	"4"			"yes"					"Tashkent"						"Chach"		"city"				"Q269"
	"Tallinn"	"Tallinn"	"2164745"	"relation"	"8"			"yes"					"Tallinn"								"city"				"Q1770"
	"Tarawa Sud"	"South Tarawa"	"703437318"	"node"	"2"			"yes"													"town"				"Q131233"
	"Teheran"	"شهر تهران"	"6663864"	"relation"	"7"			"yes"					"Tehran"								"city"				"Q3616"
	"Varsòvia"	"Warszawa"	"336074"	"relation"	"8"			"yes"																	"Q270"
	"Viena"	"Wien"	"109166"	"relation"	"4"			"yes"																	"Q1741"
		"Jamestown"	"293673697"	"node"				"yes"									"City of James Town"				"town"				"Q30970"
		"تفاريتي"	"2420942708"	"node"		"تيفاريتي"		"7"													"town"				"Q2360337"
		"Bloemfontein"	"26938845"	"node"				"yes"			"yes"										"city"				"Q37701"
		"رام الله"	"246843686"	"node"				"yes"													"city"				"Q158119"
		"Sri Jayawardenepura Kotte"	"3275779630"	"node"		"Kotte"		"yes"													"city"				"Q41963"
		"Ciudad de la Paz"	"3346995825"	"node"				"yes"											"Oyala"		"city"				"Q1140136"
		"Hargeysa هرجيسا"	"4298140251"	"node"		"Hargaisa"		"yes"													"city"				"Q168652"
		"Мінск"	"59195"	"relation"	"4"			"yes"					"Minsk"			"Мінск"			"Менск"		"city"				"Q2280"
		"Saint-Denis"	"192468"	"relation"	"8"			"yes"																	"Q47045"
		"Pago Pago"	"253733"	"relation"	"8"			"yes"													"village"				"Q51678"
		"Hagåtña"	"253788"	"relation"				"yes"											"Agaña"		"village"				"Q30988"
		"Charlotte Amalie"	"255299"	"relation"	"8"			"yes"													"town"				"Q51681"
		"Basse-Terre"	"278979"	"relation"	"8"			"yes"																	"Q167024"
		"Fort-de-France"	"290031"	"relation"	"8"	"Foyal"		"yes"											"Fort Royal"						"Q81621"
		"Saint-Pierre"	"315484"	"relation"	"8"			"yes"																	"Q249884"
		"Nouméa"	"377752"	"relation"	"8"			"yes"																	"Q9733"
		"Douglas"	"1061138"	"relation"	"8"			"yes"													"city"				"Q18569"
		"Cayenne"	"1663791"	"relation"	"8"			"yes"																	"Q44401"
		"Chișinău"	"1748490"	"relation"	"8"			"yes"													"city"				"Q21197"
		"Mariehamn"	"2297665"	"relation"	"8"			"yes"									"Mariehamn"								"Q48329"
		"Bakı"	"2415335"	"relation"				"yes"													"city"				
		"Reykjavíkurborg"	"2580605"	"relation"	"6"	"Reykjavík"		"yes"													"city"				"Q1764"
		"Zagreb"	"3168167"	"relation"	"8"			"yes"																	"Q1435"
		"Mamoudzou"	"3366531"	"relation"	"8"			"yes"																	"Q132676"
		"Bratislava"	"3992676"	"relation"				"yes"													"city"				"Q1780"
		"Cantón de San José"	"4069041"	"relation"	"6"	"San José"		"yes"																	"Q2536213"
		"София"	"4283101"	"relation"	"8"			"yes"					"Sofia"						"Сердика"		"city"				"Q472"
		"Prishtinë"	"7118787"	"relation"	"8"			"yes"																	"Q25270"
		"شهر بوکان"	"8836223"	"relation"	"7"			"2"													"city"				
		"Port-aux-Français"	"9524307"	"relation"				"2"													"village"		"Paf"		"Q839559"
		"Belmopan"	"10331791"	"relation"	"7"			"yes"													"city"				"Q3043"
