"estat"	"name:ca"	"name"	"osm_id"	"osm_type"	"admin_level"	"alt_name"	"alt_name:ca"	"capital"	"capital:defacto"	"capital:executive"	"capital:judicial"	"capital:legislative"	"int_name"	"loc_name"	"long_name"	"nat_name"	"official_name"	"official_name:ca"	"old_name"	"old_name:ca"	"place"	"reg_name"	"short_name"	"shortest_name"	"wikidata"
"Comores"		"Moroni موروني"	"339324562"	"node"	"2"			"yes"													"city"				"Q3901"
"Congo"		"Brazzaville"	"435903633"	"node"	"2"			"yes"													"city"				"Q3844"
"Corea del Nord"	"Pyongyang"	"평양시"	"32013127"	"node"	"2"			"yes"									"평양직할시"				"city"				"Q18808"
"Corea del Sud"	"Seül"	"서울"	"1912365631"	"node"	"2"			"yes"									"서울특별시"				"city"		"서울"		"Q8684"
"Costa d'Ivori"		"Yamoussoukro"	"319225774"	"node"	"2"			"yes"						"Yakro"							"city"				"Q3768"
"Costa Rica"		"San José"	"197698100"	"node"	"2"			"yes"											"Villa Nueva de la Boca del Monte de Nuestro Señor San José"		"city"				"Q3070"
"Croàcia"	"Zagreb"	"Zagreb"	"1551865419"	"node"	"2"			"yes"					"Zagreb"								"city"				"Q1435"
"Cuba"	"l'Havana"	"La Habana"	"26396457"	"node"	"2"			"yes"											"San Cristóbal de La Habana"		"city"				"Q1563"
"Dinamarca"	"Copenhaguen"	"København"	"13707878"	"node"	"2"			"yes"													"city"		"cph;kbh"		"Q1748"
"Djibouti"	"Djibouti"	"Djibouti جيبوتي"	"27565085"	"node"	"2"			"yes"													"city"				"Q3604"
"Dominica"	"Roseau"	"Roseau"	"4950552057"	"node"	"2"			"yes"													"town"				"Q36281"
"Egipte"	"el Caire"	"القاهرة"	"271613766"	"node"	"2"			"yes"					"Cairo"								"city"				"Q85"
"El Salvador"		"San Salvador"	"197701710"	"node"	"2"			"yes"													"city"				"Q3110"
"Emirats Àrabs Units"		"أبو ظبي"	"261611194"	"node"	"2"	"أبوظبي"		"yes"													"city"	"بوظبي"			"Q1519"
"Equador"		"Quito"	"58950371"	"node"	"2"			"yes"									"San Francisco de Quito"				"city"				"Q2900"
"Eritrea"		"ኣስመራ Asmara أسمرة"	"5621920820"	"node"	"2"			"yes"													"city"				"Q3642"
"Eslovàquia"		"Bratislava"	"530544342"	"node"	"2"			"yes"					"Bratislava"								"city"				"Q1780"
"Eslovènia"		"Ljubljana"	"6968827"	"node"	"2"			"yes"													"city"				"Q437"
"Espanya"	"Madrid"	"Madrid"	"21068295"	"node"	"2"			"yes"													"city"				"Q2807"
"Estats Units d'Amèrica"	"Washington DC"	"Washington"	"158368533"	"node"	"2"	"Washington, D.C.;Washington DC"		"yes"					"Washington"								"city"				"Q61"
"Estònia"		"Tallinn"	"29787492"	"node"	"2"			"yes"													"city"				"Q1770"
"Etiòpia"	"Addis Abeba"	"አዲስ አበባ / Addis Ababa"	"27565076"	"node"	"2"			"yes"													"city"				"Q3624"
"Fiji"		"Suva"	"2289652909"	"node"	"2"			"yes"													"city"				"Q38807"
"Filipines"	"Manila"	"Manila"	"198493613"	"node"	"2"			"yes"													"city"				"Q1461"
"Finlàndia"	"Hèlsinki"	"Helsinki"	"1372477580"	"node"	"2"			"yes"						"Stadi;Hesa"							"city"				"Q1757"
"França"	"París"	"Paris"	"17807753"	"node"	"2"			"yes"						"Paname"					"Lutèce"		"city"				"Q90"
"Gabon"		"Libreville"	"27565068"	"node"	"2"			"yes"													"city"				"Q3825"
"Gàmbia"		"Banjul"	"249167555"	"node"	"2"			"yes"											"Bathurst"		"town"				"Q3726"
"Geòrgia"	"Tbilissi"	"თბილისი"	"1614277087"	"node"	"2"		"Tiflis"	"yes"					"Tbilisi"								"city"				"Q994"
"Ghana"		"Accra"	"27565080"	"node"	"2"			"yes"													"city"				"Q3761"
"Gibraltar"		"Gibraltar"	"267933614"	"node"				"yes"					"Gibraltar"								"city"				"Q1410"
"Grècia"	"Atenes"	"Αθήνα"	"441183"	"node"	"2"			"yes"					"Athina"				"Αθήναι"			"Cetines"	"city"				"Q1524"
"Grenada"		"St. George's"	"246514396"	"node"	"2"			"yes"													"town"				"Q41547"
"Groenlàndia"		"Nuuk"	"992046822"	"node"	"2"	"Godthåb"		"yes"											"Godthåb"		"city"				"Q226"
"Guatemala"	"Ciutat de Guatemala"	"Ciudad de Guatemala"	"472114145"	"node"	"2"			"yes"									"Nueva Guatemala de la Asunción"				"city"		"Guate"		"Q1555"
"Guernsey"		"St Peter Port"	"116359720"	"node"				"yes"													"town"				"Q174262"
"Guinea"		"Conakry"	"27565062"	"node"	"2"			"yes"													"city"				"Q3733"
"Guinea Bissau"		"Bissau"	"254525765"	"node"	"2"			"yes"													"city"				"Q3739"
"Guinea Equatorial"		"Malabo"	"292521364"	"node"	"2"			"yes"											"Santa Isabel"		"city"				"Q3818"
"Guyana"		"Georgetown"	"293789508"	"node"	"2"			"yes"													"city"				"Q10717"
"Haití"		"Port-au-Prince"	"289141966"	"node"	"2"			"yes"									"Ville de Port-au-Prince"				"city"		"PAP"		"Q34261"
"Hondures"		"Tegucigalpa"	"305138115"	"node"	"2"			"yes"													"city"				"Q3238"
"Hongria"	"Budapest"	"Budapest"	"85788293"	"node"	"2"			"yes"													"city"				"Q1781"
"Iemen"	"Sanà"	"صنعاء"	"258013552"	"node"	"2"	"San’ah;San'ah;Şan‘ā’"		"yes"													"city"				"Q2471"
"Illa de Man"		"Douglas"	"2199688788"	"node"	"2"			"yes"													"city"				"Q18569"
"Illa de Montserrat"		"Brades"	"358222806"	"node"				"2"													"town"				"Q31006"
"Illes Caiman"		"George Town"	"776951938"	"node"	"2"			"2"													"city"				"Q172996"
"Illes Cook"	"Avarua"	"Avarua"	"266727954"	"node"	"2"			"yes"													"town"				"Q170482"
"Illes Fèroe"		"Tórshavn"	"29023813"	"node"	"2"			"yes"													"town"				"Q10704"
"Illes Geòrgia del Sud i Sandwich del Sud"		"King Edward Point"	"6764600494"	"node"				"yes"													"village"				"Q393878"
"Illes Malvines"		"Stanley"	"1791553385"	"node"		"Port Stanley"		"yes"													"city"				"Q12245"
"Illes Pitcairn"		"Adamstown"	"2134592841"	"node"				"yes"													"hamlet"				"Q48273"
"Illes Turks i Caicos"		"Cockburn Town"	"296255680"	"node"				"2"													"town"				"Q34205"
"Illes Verges Britàniques"		"Road Town"	"280972174"	"node"				"yes"													"city"				"Q179431"
"Índia"	"Nova Delhi"	"New Delhi"	"16173236"	"node"	"2"			"yes"													"city"				"Q987"
"Indonèsia"		"Jakarta"	"29939632"	"node"	"2"			"yes"									"Daerah Khusus Ibukota Jakarta"		"Batavia"		"city"				"Q3630"
"Iran"	"Teheran"	"تهران"	"25960293"	"node"	"2"			"yes"					"Tehran"								"city"				"Q3616"
"Iraq"	"Bagdad"	"بغداد"	"21034458"	"node"	"2"	"بغداد الرشيد"		"yes"													"city"				"Q1530"
"Irlanda"	"Dublín"	"Dublin"	"3473474851"	"node"	"2"	"Dublin City"		"yes"													"city"				"Q1761"
"Islàndia"		"Reykjavík"	"2107832620"	"node"	"2"			"yes"													"city"				"Q1764"
"Israel"	"Jerusalem"	"ירושלים"	"29090735"	"node"	"2"			"yes"					"Jerusalem"								"city"				"Q1218"
"Itàlia"	"Roma"	"Roma"	"72959652"	"node"	"2"			"yes"													"city"				"Q220"
"Jamaica"		"Kingston"	"53371112"	"node"	"2"			"yes"													"city"				"Q34692"
"Japó"	"Tòquio"	"東京都"	"265018692"	"node"	"2"			"yes"													"city"				"Q1490"
"Jersey"		"St Helier"	"2615659256"	"node"				"yes"									"Parish of Saint Helier"				"town"		"St. Helier"		"Q147738"
"Jordània"		"عمان"	"1643504896"	"node"	"2"			"yes"					"Amman"								"city"				"Q3805"
"Kazakhstan"	"Astana"	"Астана"	"27548009"	"node"	"2"			"yes"											"Нур-Султан;Целиноград;Акмола"		"city"				"Q1520"
"Kenya"		"Nairobi"	"27565105"	"node"	"2"			"yes"													"city"				"Q3870"
"Kirguizistan"	"Bixkek"	"Бишкек"	"27524177"	"node"	"2"			"yes"					"Bishkek"			"Бишкек"			"Фрунзе"		"city"				"Q9361"
"Kosovo"		"Prishtinë"	"2885136501"	"node"	"2"	"Pristina"		"yes"													"city"				"Q25270"
"Kuwait"	"Al-Kuwait"	"مدينة الكويت"	"544060405"	"node"	"2"			"yes"					"Kuwait City"								"city"				"Q35178"
"Laos"		"ວຽງຈັນ"	"122739684"	"node"	"2"			"yes"													"city"				"Q9326"
"Lesotho"		"Maseru"	"30656833"	"node"	"2"			"yes"													"city"				"Q3909"
"Letònia"	"Riga"	"Rīga"	"26707967"	"node"	"2"	"Riiga"		"yes"					"Rīga"								"city"				"Q1773"
"Líban"		"بيروت"	"289346590"	"node"	"2"			"yes"					"Beirut"								"city"				"Q3820"
"Libèria"	"Monròvia"	"Monrovia"	"27564980"	"node"	"2"			"yes"													"city"				"Q3748"
"Líbia"	"Trípoli"	"طرابلس"	"1699640925"	"node"	"2"			"yes"					"Ṭarābulus"		"طرابلس الغرب"						"city"				"Q3579"
"Liechtenstein"		"Vaduz"	"1932181216"	"node"	"2"			"yes"													"town"				"Q1844"
"Lituània"	"Vílnius"	"Vilnius"	"27193093"	"node"	"2"	"Vilna"		"yes"					"Vilnius"								"city"				"Q216"
"Luxemburg"	"Ciutat de Luxemburg"	"Luxembourg"	"52943358"	"node"	"2"			"yes"													"city"				"Q1842"
"Macedònia del Nord"		"Скопје"	"170792214"	"node"	"2"			"yes"					"Skopje"								"city"				"Q384"
"Madagascar"	"Antananarivo"	"Antananarivo"	"27565116"	"node"	"2"			"yes"						"Tana"					"Tananarive"		"city"				
"Malàisia"		"Kuala Lumpur"	"1889910974"	"node"	"2"			"yes"													"city"		"KL"		"Q1865"
"Malawi"		"Lilongwe"	"6765699485"	"node"	"2"			"yes"													"city"				"Q3876"
"Maldives"		"މާލެ"	"3385374395"	"node"	"2"			"yes"													"city"				"Q9347"
"Mali"		"Bamako"	"27564954"	"node"	"2"			"yes"													"city"				"Q3703"
"Malta"	"La Valletta"	"Valletta"	"1501909943"	"node"	"2"	"Il-Belt"		"yes"											"Humilissima Civitas Valletta"		"city"				"Q23800"
"Marroc"		"Rabat ⵔⴱⴰⵟ الرباط"	"299120862"	"node"	"2"			"yes"													"city"				"Q3551"
"Maurici"	"Port Louis"	"Port Louis"	"243819778"	"node"	"2"	"Port-Louis"		"yes"						"Port Lewis"							"city"				"Q3929"
"Mauritània"		"نواكشوط"	"249166495"	"node"	"2"	"Nouakchot;Nouakchat"		"yes"													"city"				"Q3688"
"Mèxic"	"Ciutat de Mèxic"	"Ciudad de México"	"62270270"	"node"	"2"	"D.F.;Cd. Mx."		"yes"													"city"		"CDMX"		"Q1489"
"Micronèsia"	"Palikir"	"Palikir"	"703902171"	"node"	"2"			"yes"													"town"				"Q42751"
"Moçambic"	"Maputo"	"Maputo"	"27565081"	"node"	"2"			"yes"													"city"				"Q3889"
"Moldàvia"		"Chișinău"	"129991407"	"node"	"2"			"yes"													"city"				"Q21197"
"Mònaco"	"Mònaco"	"Monaco"	"1790048269"	"node"	"2"			"yes"					"Monaco"				"Principatu de Múnegu"	"Principat de Mònaco"			"city"				"Q235"
"Mongòlia"	"Ulan Bator"	"Улаанбаатар ᠤᠯᠠᠭᠠᠨᠪᠠᠭᠠᠲᠤᠷ"	"27547986"	"node"	"2"			"yes"					"Ulaanbaatar"						"Урга;Хүрээ ᠬᠦᠷᠢᠶᠡᠨ;Нийслэл хүрээ ᠨᠡᠶᠢᠰᠯᠡᠯ ᠬᠦᠷᠢᠶᠡᠨ;Их хүрээ ᠶᠡᠬᠡ ᠬᠦᠷᠢᠶᠡᠨ;Номын хүрээ ᠨᠣᠮ ‍ᠤᠨ ᠬᠦᠷᠢᠶᠡᠨ;Өргөө ᠥᠷᠭᠦᠭᠡ;"		"city"				"Q23430"
"Montenegro"		"Podgorica"	"123860883"	"node"	"2"			"yes"											"Titograd;Ribnica"		"city"				"Q23564"
"Myanmar"		"နေပြည်တော်"	"315390382"	"node"	"2"	"Nay Pyi Taw;Nay Pyi Taw"		"yes"					"Nay Pyi Taw"								"city"				"Q37400"
"Namíbia"	"Windhoek"	"Windhoek"	"33364833"	"node"	"2"			"yes"													"city"				"Q3935"
"Nauru"	"Yaren"	"Yaren"	"313728509"	"node"				"no"											"Makwa"		"village"				"Q31026"
"Nepal"	"Katmandú"	"काठमाडौं"	"67157058"	"node"	"2"	"य"		"yes"					"Kathmandu"			"काठमांडौ"					"city"				"Q3037"
"Nicaragua"		"Managua"	"175699213"	"node"	"2"			"yes"													"city"				"Q3274"
"Níger"		"Niamey"	"27564937"	"node"	"2"	"Niamey"		"yes"									"Communauté Urbaine de Niamey"		"Niamé"		"city"		"NY"		"Q3674"
"Nigèria"		"Abuja"	"31203257"	"node"	"2"			"yes"													"city"				"Q3787"
"Niue"	"Alofi"	"Alofi"	"448768937"	"node"	"2"	"Alofi Township"		"yes"													"town"				"Q30966"
"Noruega"	"Oslo"	"Oslo"	"20981158"	"node"	"2"			"yes"													"city"				"Q585"
"Nova Zelanda"		"Wellington"	"204648"	"node"	"2"			"yes"					"Wellington"	"Welly"							"city"				"Q23661"
"Oman"	"Masqat"	"مسقط"	"226881400"	"node"	"2"			"yes"													"city"				"Q3826"
"Països Baixos"		"Amsterdam"	"268396336"	"node"	"2"			"yes"						"Mokum"							"city"				"Q727"
"Pakistan"		"اسلام آباد"	"316440978"	"node"	"2"			"yes"									"اسلام آباد وفاقی دارالحکومت علاقہ"				"city"				"Q1362"
"Palau"		"Ngerulmud"	"4244310289"	"node"	"2"			"yes"													"village"				"Q515229"
"Panamà"	"Panamà"	"Panamá"	"1242998122"	"node"	"2"	"Ciudad de Panamá"	"Ciutat de Panamà"	"yes"													"city"				"Q3306"
"Papua Nova Guinea"		"Port Moresby"	"230628786"	"node"	"2"			"yes"													"city"				"Q36526"
"Paraguai"		"Asunción"	"249854726"	"node"	"2"	"Nuestra Señora Santa María de la Asunción"		"yes"									"La Muy Noble y Leal Ciudad de Nuestra Señora Santa María de la Asunción"				"city"				"Q2933"
"Perú"		"Lima"	"4289361265"	"node"	"2"			"yes"													"city"				"Q2868"
"Polònia"	"Varsòvia"	"Warszawa"	"428339515"	"node"	"2"	"m.st. Warszawa"		"yes"									"miasto stołeczne Warszawa"				"city"				"Q270"
"Portugal"		"Lisboa"	"265958490"	"node"	"2"			"yes"					"Lisbon"								"city"				"Q597"
"Qatar"	"Doha"	"الدوحة"	"1676664890"	"node"	"2"			"yes"											"البدع"		"city"				"Q3861"
"Regne Unit"	"Londres"	"London"	"107775"	"node"	"2"			"yes"													"city"				"Q84"
"República Centreafricana"	"Bangui"	"Bangui"	"27564988"	"node"	"2"			"yes"													"city"				"Q3832"
"República Democràtica del Congo"		"Kinshasa"	"27043346"	"node"	"2"			"yes"											"Léopoldville"		"city"				"Q3838"
"República Dominicana"		"Santo Domingo"	"315342451"	"node"	"2"			"yes"									"Santo Domingo de Guzmán"				"city"				"Q34820"
"Romania"	"Bucarest"	"București"	"96209423"	"node"	"2"			"yes"													"city"				"Q19660"
"Rússia"	"Moscou"	"Москва"	"1686293227"	"node"	"2"			"yes"					"Moscow"								"city"				"Q649"
"Rwanda"		"Kigali"	"60485579"	"node"	"2"			"yes"													"city"				"Q3859"
"Saint Kitts i Nevis"		"Basseterre"	"183864922"	"node"				"yes"													"town"				"Q41295"
"Saint Lucia"		"Castries"	"4428259435"	"node"	"2"			"yes"													"town"				"Q41699"
"Saint Vincent i les Grenadines"		"Kingstown"	"246514507"	"node"	"2"			"yes"													"town"				"Q41474"
"Salomó"		"Honiara"	"790807049"	"node"	"2"			"yes"													"city"				"Q40921"
"Samoa"		"Apia"	"388977545"	"node"	"2"			"yes"													"city"				"Q36260"
"San Marino"	"Ciutat de San Marino"	"Città di San Marino"	"280982720"	"node"	"2"			"yes"													"city"				"Q1848"
"São Tomé i Príncipe"		"São Tomé"	"295342933"	"node"	"2"	"Saint-Thomas"		"yes"													"city"				"Q3932"
"Senegal"		"Dakar"	"27565045"	"node"	"2"			"yes"													"city"				"Q3718"
"Sèrbia"	"Belgrad"	"Београд"	"60571493"	"node"	"2"			"yes"					"Beograd"								"city"				"Q3711"
"Seychelles"	"Victòria"	"Victoria"	"4547527878"	"node"				"yes"													"city"				"Q3940"
"Sierra Leone"		"Freetown"	"27565056"	"node"	"2"	"Saint George"		"yes"													"city"				"Q3780"
"Singapur"	"Singapur"	"Singapore"	"531668011"	"node"	"2"			"yes"													"city"				"Q334"
"Síria"	"Damasc"	"دمشق"	"1091272140"	"node"	"2"			"yes"													"city"				"Q3766"
"Somàlia"	"Mogadixo"	"Muqdisho مقديشو"	"34684808"	"node"	"2"	"Xamar"		"yes"													"city"				"Q2449"
"Sri Lanka"		"Colombo"	"50794342"	"node"	"2"								"Colombo"								"city"				"Q35381"
"Sud-àfrica"	"Pretòria"	"Pretoria"	"25503669"	"node"	"2"			"yes"	"yes"	"yes"											"city"				"Q3926"
"Sudan"	"Khartum"	"الخرطوم"	"27565117"	"node"	"2"			"yes"													"city"				"Q1963"
