"name:ca"	"regio"	"comarca"	"municipi"	"osm_type"	"osm_id"	"name"	"wikidata"	"wikipedia"	"place"	"capital"	"admin_level"	"ref:idescat"	"ref:ine"	"ref:INSEE"
"Dorres"	"CatNord"	"Alta Cerdanya"	"Dorres"	"node"	"297161742"	"Dorres"	"Q1093077"	"fr:Dorres"	"village"	"8"				
"Èguet"	"CatNord"	"Alta Cerdanya"	"Èguet"	"node"	"293427839"	"Égat"	"Q1163187"	"ca:Èguet"	"village"	"8"				
"Eina"	"CatNord"	"Alta Cerdanya"	"Eina"	"node"	"313749785"	"Eyne"	"Q290830"	"fr:Eyne"	"village"	"8"				
"Enveig"	"CatNord"	"Alta Cerdanya"	"Enveig"	"node"	"297161751"	"Enveitg"	"Q752263"	"fr:Enveitg"	"village"	"8"				
"Er"	"CatNord"	"Alta Cerdanya"	"Er"	"node"	"297161755"	"Err"	"Q1369252"	"fr:Err (Pyrénées-Orientales)"	"village"	"8"				
"Estavar"	"CatNord"	"Alta Cerdanya"	"Estavar"	"node"	"281164413"	"Estavar"	"Q190407"	"fr:Estavar"	"village"	"8"				
"Font-romeu, Odelló i Vià"	"CatNord"	"Alta Cerdanya"	"Font-romeu, Odelló i Vià"	"node"	"1675959342"	"Font-Romeu-Odeillo-Via"	"Q458715"	"fr:Font-Romeu-Odeillo-Via"	"village"	"8"				
"la Guingueta d'Ix"	"CatNord"	"Alta Cerdanya"	"la Guingueta d'Ix"	"node"	"153427402"	"Bourg-Madame"	"Q329276"	"ca:La Guingueta d'Ix"	"village"	"8"				
"la Tor de Querol"	"CatNord"	"Alta Cerdanya"	"la Tor de Querol"	"node"	"153427406"	"Latour-de-Carol"	"Q1114031"	"fr:Latour-de-Carol"	"village"	"8"				
"Llo"	"CatNord"	"Alta Cerdanya"	"Llo"	"node"	"297161739"	"Llo"	"Q632053"	"fr:Llo"	"village"	"8"				
"Naüja"	"CatNord"	"Alta Cerdanya"	"Naüja"	"node"	"313758029"	"Nahuja"	"Q585468"	"ca:Naüja"	"village"	"8"				
"Oceja"	"CatNord"	"Alta Cerdanya"	"Oceja"	"node"	"296253313"	"Osséja"	"Q1369732"	"ca:Oceja"	"village"	"8"				
"Palau de Cerdanya"	"CatNord"	"Alta Cerdanya"	"Palau de Cerdanya"	"node"	"296253362"	"Palau-de-Cerdagne"	"Q545632"	"ca:Palau de Cerdanya"	"village"	"8"				
"Porta"	"CatNord"	"Alta Cerdanya"	"Porta"	"node"	"313764926"	"Porta"	"Q198196"	"fr:Porta"	"village"	"8"				
