"name:ca"	"regio"	"osm_id"	"osm_type"	"name"	"wikipedia"	"wikidata"	"border_type"	"admin_level"	"historic:admin_level"
"Osona"	"Principat"	"2422857"	"relation"	"Osona"	"ca:Osona"	"Q12793"	"comarca"	"7"	
"Pallars Jussà"	"Principat"	"2810954"	"relation"	"Pallars Jussà"	"ca:Pallars Jussà"	"Q12723"	"comarca"	"7"	
"Pallars Sobirà"	"Principat"	"2810705"	"relation"	"Pallars Sobirà"	"ca:Pallars Sobirà"	"Q12719"	"comarca"	"7"	
"Pla d'Urgell"	"Principat"	"2819346"	"relation"	"Pla d'Urgell"	"ca:Pla d'Urgell"	"Q12728"	"comarca"	"7"	
"Pla de l'Estany"	"Principat"	"2807146"	"relation"	"Pla de l'Estany"	"ca:Pla de l'Estany"	"Q12762"	"comarca"	"7"	
"Priorat"	"Principat"	"2826145"	"relation"	"Priorat"	"ca:Priorat"	"Q15377"	"comarca"	"7"	
"Ribera d'Ebre"	"Principat"	"2829952"	"relation"	"Ribera d'Ebre"	"ca:Ribera d'Ebre"	"Q15374"	"comarca"	"7"	
"Ripollès"	"Principat"	"2806754"	"relation"	"Ripollès"	"ca:Ripollès"	"Q10930"	"comarca"	"7"	
"Segarra"	"Principat"	"2815579"	"relation"	"Segarra"	"ca:Segarra"	"Q12733"	"comarca"	"7"	
"Segrià"	"Principat"	"2819857"	"relation"	"Segrià"	"ca:Segrià"	"Q12727"	"comarca"	"7"	
"Solsonès"	"Principat"	"2809162"	"relation"	"Solsonès"	"ca:Solsonès"	"Q12734"	"comarca"	"7"	
"Tarragonès"	"Principat"	"2822691"	"relation"	"Tarragonès"	"ca:Tarragonès"	"Q15360"	"comarca"	"7"	
"Terra Alta"	"Principat"	"2829953"	"relation"	"Terra Alta"	"ca:Terra Alta"	"Q15376"	"comarca"	"7"	
"Urgell"	"Principat"	"2818895"	"relation"	"Urgell"	"ca:Urgell"	"Q12729"	"comarca"	"7"	
"Vallès Occidental"	"Principat"	"2350067"	"relation"	"Vallès Occidental"	"ca:Vallès Occidental"	"Q13948"	"comarca"	"7"	
"Vallès Oriental"	"Principat"	"2417929"	"relation"	"Vallès Oriental"	"ca:Vallès Oriental"	"Q14303"	"comarca"	"7"	
"Comarca de València"	"PV"	"5813174"	"relation"	"Comarca de València"	"ca:Comarca de València"	"Q2263209"	"comarca"	"7"	
"el Baix Maestrat"	"PV"	"1690974"	"relation"	"el Baix Maestrat"	"es:Bajo Maestrazgo"	"Q804017"	"comarca"	"7"	
"el Baix Segura"	"PV"	"1692447"	"relation"	"el Baix Segura / La Vega Baja del Segura"	"es:Vega Baja del Segura"	"Q972305"	"comarca"	"7"	
